resultId,raceId,driverId,constructorId,grid,resultPosition,qualifyId,qualifyingPosition,PosDelta
1,18,1,1,1,1,1.0,1.0,0.0
2,18,2,2,5,2,5.0,5.0,-3.0
3,18,3,3,7,3,7.0,7.0,-4.0
4,18,4,4,11,4,12.0,12.0,-8.0
5,18,5,1,3,5,3.0,3.0,2.0
6,18,6,3,13,6,14.0,14.0,-8.0
7,18,7,5,17,7,18.0,18.0,-11.0
8,18,8,6,15,8,16.0,16.0,-8.0
23,19,8,6,2,1,24.0,2.0,-1.0
24,19,9,2,4,2,28.0,6.0,-4.0
25,19,5,1,8,3,25.0,3.0,0.0
26,19,15,7,3,4,27.0,5.0,-1.0
27,19,1,1,9,5,26.0,4.0,1.0
28,19,2,2,5,6,29.0,7.0,-1.0
29,19,17,9,6,7,30.0,8.0,-1.0
30,19,4,4,7,8,31.0,9.0,-1.0
31,19,14,9,12,9,34.0,12.0,-3.0
32,19,18,11,11,10,33.0,11.0,-1.0
33,19,12,4,13,11,35.0,13.0,-2.0
34,19,21,10,17,12,39.0,17.0,-5.0
35,19,22,11,14,13,36.0,14.0,-1.0
36,19,3,3,16,14,38.0,16.0,-2.0
37,19,19,8,21,15,44.0,22.0,-7.0
38,19,11,8,19,16,42.0,20.0,-4.0
39,19,6,3,22,17,40.0,18.0,-1.0
45,20,13,6,2,1,46.0,2.0,-1.0
46,20,8,6,4,2,48.0,4.0,-2.0
47,20,9,2,1,3,45.0,1.0,2.0
48,20,2,2,6,4,50.0,6.0,-2.0
49,20,5,1,5,5,49.0,5.0,0.0
50,20,15,7,7,6,51.0,7.0,-1.0
51,20,17,9,11,7,55.0,11.0,-4.0
52,20,3,3,8,8,52.0,8.0,0.0
53,20,10,7,13,9,57.0,13.0,-4.0
54,20,4,4,10,10,54.0,10.0,0.0
55,20,22,11,12,11,56.0,12.0,-1.0
56,20,21,10,18,12,62.0,18.0,-6.0
57,20,1,1,3,13,47.0,3.0,10.0
58,20,6,3,16,14,60.0,16.0,-2.0
59,20,7,5,15,15,59.0,15.0,0.0
60,20,19,8,21,16,65.0,21.0,-5.0
61,20,11,8,22,17,66.0,22.0,-5.0
62,20,14,9,17,18,61.0,17.0,1.0
63,20,16,10,20,19,64.0,20.0,-1.0
67,21,8,6,1,1,67.0,1.0,0.0
68,21,13,6,3,2,69.0,3.0,-1.0
69,21,1,1,5,3,71.0,5.0,-2.0
70,21,9,2,4,4,70.0,4.0,0.0
71,21,17,9,7,5,73.0,7.0,-2.0
72,21,18,11,13,6,79.0,13.0,-7.0
73,21,6,3,12,7,78.0,12.0,-5.0
74,21,15,7,8,8,74.0,8.0,0.0
75,21,2,2,9,9,75.0,9.0,0.0
76,21,21,10,19,10,85.0,19.0,-9.0
77,21,10,7,14,11,80.0,14.0,-3.0
78,21,14,9,17,12,83.0,17.0,-5.0
79,21,11,8,22,13,88.0,22.0,-9.0
89,22,13,6,1,1,89.0,1.0,0.0
90,22,1,1,3,2,91.0,3.0,-1.0
91,22,8,6,4,3,92.0,4.0,-1.0
92,22,9,2,5,4,93.0,5.0,-1.0
93,22,2,2,9,5,97.0,9.0,-4.0
94,22,4,4,7,6,95.0,7.0,-1.0
95,22,17,9,6,7,94.0,6.0,1.0
96,22,3,3,11,8,99.0,11.0,-3.0
97,22,14,9,10,9,98.0,10.0,-1.0
98,22,15,7,8,10,96.0,8.0,2.0
99,22,18,11,13,11,101.0,13.0,-2.0
100,22,5,1,2,12,90.0,2.0,10.0
101,22,10,7,15,13,103.0,15.0,-2.0
102,22,22,11,12,14,100.0,12.0,2.0
103,22,12,4,17,15,105.0,17.0,-2.0
104,22,16,10,19,16,108.0,20.0,-4.0
105,22,20,5,14,17,102.0,14.0,3.0
109,23,1,1,3,1,111.0,3.0,-2.0
110,23,9,2,5,2,113.0,5.0,-3.0
111,23,13,6,1,3,109.0,1.0,2.0
112,23,17,9,9,4,117.0,9.0,-5.0
