raceId,circuitId,count,mean,std,min,25%,50%,75%,max,year
56,21,1146.0,90413.66928446772,23609.724636086754,84569.0,86472.25,87164.5,88186.0,809130.0,2006
74,21,985.0,86257.2456852792,5160.411656641373,81858.0,84541.0,85089.0,85813.0,148366.0,2005
93,21,1082.0,85242.71164510166,4895.3682506021905,80411.0,83055.5,83807.0,85148.5,118951.0,2004
111,21,1102.0,86954.64791288566,6018.5411297890905,82491.0,84773.5,85771.5,86752.75,183152.0,2003
127,21,963.0,88293.34060228453,4439.936684603438,84170.0,86339.5,87305.0,88670.0,129367.0,2002
144,21,1015.0,90223.0315270936,6274.9444228497505,85524.0,87932.0,89128.0,90325.0,224411.0,2001
160,21,1068.0,90917.89700374533,5885.716335524424,86523.0,89099.5,89903.0,90689.25,192437.0,2000
177,21,934.0,93189.25802997859,7881.6068598518295,88547.0,90954.25,91897.0,93074.5,279926.0,1999
194,21,902.0,93979.56762749446,5819.914908487607,89345.0,91440.75,92586.0,94491.75,150320.0,1998
210,21,897.0,90288.22408026755,4863.574020428531,85531.0,87897.0,89131.0,90718.0,141169.0,1997
228,21,1044.0,93190.64750957854,7314.241089119478,88931.0,90523.5,91389.5,93050.75,237485.0,1996
1043,21,1128.0,84147.57180851063,12532.760532692577,75484.0,79000.0,79895.5,81237.75,145144.0,2020
1053,21,1124.0,117208.33629893238,189716.40742847737,76702.0,80035.25,88266.0,96609.75,1772740.0,2021
1077,21,1131.0,89187.02033598586,14609.004480342448,78446.0,81666.0,82399.0,92407.5,150834.0,2022
