raceId,circuitId,count,mean,std,min,25%,50%,75%,max,year
8,9,1146.0,84317.45811518324,4865.586266931412,80735.0,82506.0,83076.0,84000.5,133970.0,2009
26,9,917.0,100905.51908396947,8133.280507069511,92150.0,95937.0,98125.0,102569.0,150481.0,2008
44,9,1080.0,85536.03333333334,17322.740749969085,80638.0,83061.75,84011.0,85014.0,632179.0,2007
60,9,1075.0,87877.31441860466,12179.473590972248,81599.0,83418.5,84523.0,86485.0,153036.0,2006
81,9,1133.0,86659.92850838482,11065.922178236138,80502.0,83058.0,84159.0,85882.0,305023.0,2005
100,9,1084.0,85765.57287822878,12150.635184930426,78739.0,80939.5,81728.0,84252.5,156583.0,2004
118,9,1140.0,90055.14385964912,14009.450568437924,82236.0,84691.25,85702.5,87699.75,175466.0,2003
133,9,922.0,94557.16052060737,10148.948715968158,83083.0,87441.5,91742.5,98027.5,150501.0,2002
151,9,984.0,88000.1361788618,4702.913287676685,83405.0,85907.25,87069.5,88333.25,130352.0,2001
161,9,1169.0,90448.9255774166,5132.745081068269,86217.0,88662.0,89317.0,90185.0,170202.0,2000
182,9,1066.0,94030.67260787993,9530.454870676926,88309.0,90463.0,91476.0,92606.5,159399.0,1999
199,9,959.0,108235.0385818561,16581.141885752677,95704.0,100526.0,104038.0,108084.5,382273.0,1998
215,9,1024.0,91178.6669921875,10561.555743072222,84475.0,87393.5,88232.0,89840.5,174856.0,1997
233,9,866.0,93658.72517321016,5587.364334501898,89288.0,91376.5,92558.5,93731.25,192187.0,1996
346,9,1133.0,99351.35216240071,8114.97548610015,90874.0,95376.0,97257.0,99525.0,165709.0,2010
849,9,1075.0,104956.72372093023,8702.308034724685,93391.0,98251.0,101233.0,111696.5,138918.0,2011
868,9,1097.0,99808.07019143118,5216.526669377953,94608.0,97042.0,98669.0,100620.0,157158.0,2012
887,9,1109.0,107805.83588818756,18246.228776173597,93401.0,97773.0,99600.0,106165.0,165299.0,2013
908,9,920.0,180681.68260869564,524170.262937231,97176.0,99437.5,100927.5,102561.25,3803459.0,2014
934,9,721.0,108001.61165048544,13336.56835344825,96610.0,99412.0,102008.0,112028.0,187796.0,2015
957,9,970.0,113489.77319587629,24823.48626396623,95548.0,98223.75,100633.0,116118.75,225693.0,2016
978,9,889.0,97780.81439820022,11210.019596806396,90621.0,93519.0,94448.0,95820.0,163389.0,2017
998,9,898.0,101208.1258351893,14994.714665971933,90696.0,93952.5,95265.0,96895.25,174472.0,2018
1019,9,913.0,95101.0273822563,10913.488569815967,87369.0,90589.0,91755.0,93164.0,169629.0,2019
1034,9,895.0,102457.77988826815,21454.931758513205,87097.0,90778.5,92047.0,95814.5,167254.0,2020
1035,9,1025.0,93384.48975609757,4262.738231995263,88451.0,91523.0,92499.0,93520.0,119345.0,2020
1061,9,969.0,138947.17750258,297225.4936510268,88617.0,92569.0,93340.0,94577.0,2253574.0,2021
1083,9,811.0,164764.65721331688,442914.45723865886,90510.0,93422.0,94503.0,95576.0,3204155.0,2022
